,num_bingo_tries,num_tries_row0,num_tries_col0,num_tries_row1,num_tries_col1,num_tries_row2,num_tries_col2,num_tries_row3,num_tries_col3,num_tries_row4,num_tries_col4,num_tries_rows,num_tries_cols,num_tries_diag1,num_tries_diag2,num_tries_diag,num_tries_corners
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
6,9,1,1,0,0,1,0,0,0,1,0,3,1,1,0,1,4
7,25,1,0,2,1,2,0,2,1,1,2,8,4,1,0,1,12
8,32,2,1,1,1,1,1,1,4,1,1,6,8,1,0,1,17
9,76,4,5,0,4,1,4,4,5,1,3,10,21,5,1,6,39
10,143,7,4,11,12,6,6,9,8,1,8,34,38,6,3,9,62
11,252,16,14,11,15,15,17,9,18,12,18,63,82,9,10,19,88
12,370,17,18,14,15,18,24,23,22,14,21,86,100,24,20,44,140
13,544,28,33,36,26,31,23,23,31,46,18,164,131,27,25,52,197
14,734,42,47,38,35,51,33,39,36,48,34,218,185,53,36,89,242
15,1025,63,52,62,60,70,50,59,62,51,59,305,283,52,69,121,316
16,1345,79,67,72,77,76,92,88,76,82,88,397,400,83,75,158,390
17,1720,98,104,107,106,101,110,96,97,112,102,514,519,115,98,213,474
18,2191,133,144,141,132,163,143,132,133,122,120,691,672,141,146,287,541
19,2727,167,160,186,183,185,186,174,182,151,185,863,896,162,159,321,647
20,3312,224,220,231,219,226,197,211,215,201,207,1093,1058,189,206,395,766
21,4167,281,252,272,278,259,268,277,290,282,276,1371,1364,290,240,530,902
22,5042,320,307,329,361,335,340,352,329,334,302,1670,1639,311,320,631,1102
23,6032,397,410,413,421,427,395,386,410,378,390,2001,2026,369,389,758,1247
24,7217,480,458,512,506,470,519,503,517,469,464,2434,2464,430,481,911,1408
25,8045,519,571,593,587,556,559,549,606,532,515,2749,2838,519,497,1016,1442
26,9631,633,611,691,721,722,661,643,703,641,655,3330,3351,662,632,1294,1656
27,11339,750,733,879,830,802,842,830,816,728,752,3989,3973,729,746,1475,1902
28,12879,861,821,940,942,962,944,948,913,825,838,4536,4458,891,886,1777,2108
29,14762,989,1002,1095,1036,1113,1097,1026,1131,1013,959,5236,5225,1011,1026,2037,2264
30,16529,1152,1128,1282,1285,1211,1225,1191,1264,1064,1086,5900,5988,981,1061,2042,2599
31,18423,1233,1272,1473,1394,1343,1447,1413,1386,1215,1259,6677,6758,1176,1170,2346,2642
32,20407,1336,1402,1552,1513,1505,1596,1553,1576,1332,1368,7278,7455,1323,1366,2689,2985
33,22591,1492,1538,1808,1836,1675,1720,1741,1691,1505,1477,8221,8262,1486,1422,2908,3200
