,num_bingo_tries,num_tries_row0,num_tries_col0,num_tries_row1,num_tries_col1,num_tries_row2,num_tries_col2,num_tries_row3,num_tries_col3,num_tries_row4,num_tries_col4,num_tries_rows,num_tries_cols,num_tries_diag1,num_tries_diag2,num_tries_diag,num_tries_corners
34,24550,1703,1667,1913,1923,1802,1973,1872,1913,1615,1628,8905,9104,1597,1520,3117,3424
35,26830,1874,1871,2062,2061,2205,2083,2098,2062,1794,1714,10033,9791,1727,1722,3449,3557
36,28944,2007,2053,2268,2253,2328,2313,2251,2222,1887,1888,10741,10729,1848,1875,3723,3751
37,31183,2153,2089,2539,2398,2445,2467,2514,2464,2076,2034,11727,11452,1996,2033,4029,3975
38,32901,2252,2207,2678,2661,2618,2529,2641,2519,2166,2192,12355,12108,2166,2167,4333,4105
39,34890,2381,2426,2891,2783,2751,2712,2938,2726,2283,2200,13244,12847,2308,2239,4547,4252
40,36300,2497,2508,2969,2928,2954,2820,2936,2908,2461,2386,13817,13550,2338,2303,4641,4292
41,38203,2669,2586,3167,3084,3049,3017,3199,3031,2525,2565,14609,14283,2420,2344,4764,4547
42,39304,2742,2657,3312,3240,3250,3217,3234,3136,2583,2565,15121,14815,2446,2425,4871,4497
43,39633,2706,2686,3433,3310,3260,3222,3180,3201,2627,2566,15206,14985,2600,2433,5033,4409
44,40313,2850,2859,3404,3413,3454,3390,3270,3244,2549,2536,15527,15442,2511,2414,4925,4419
45,40188,2936,2773,3469,3270,3342,3258,3373,3234,2674,2572,15794,15107,2505,2397,4902,4385
46,39983,2864,2830,3472,3443,3272,3333,3256,3167,2555,2555,15419,15328,2439,2492,4931,4305
47,39241,2777,2775,3428,3423,3289,3179,3265,3138,2521,2480,15280,14995,2400,2382,4782,4184
48,38608,2765,2700,3417,3377,3315,3078,3203,3133,2431,2398,15131,14686,2387,2279,4666,4125
49,36689,2704,2634,3265,3183,3203,3108,3063,2873,2289,2332,14524,14130,2214,2120,4334,3701
50,35058,2521,2519,3248,3036,2999,2906,2838,2756,2260,2146,13866,13363,2217,2067,4284,3545
51,32999,2394,2393,3004,2974,2821,2792,2700,2673,2046,1981,12965,12813,2020,1883,3903,3318
52,30452,2230,2127,2845,2757,2669,2538,2561,2477,1899,1785,12204,11684,1772,1709,3481,3083
53,27787,2079,2010,2654,2453,2381,2287,2312,2228,1643,1661,11069,10639,1719,1529,3248,2831
54,24786,1852,1744,2309,2249,2139,2014,2134,1941,1494,1454,9928,9402,1508,1447,2955,2501
55,21945,1674,1574,2143,1973,1937,1846,1818,1774,1321,1188,8893,8355,1363,1194,2557,2140
56,19126,1458,1416,1870,1732,1650,1552,1618,1529,1162,1085,7758,7314,1098,1016,2114,1940
57,16165,1197,1195,1576,1478,1516,1342,1331,1256,930,883,6550,6154,977,833,1810,1651
58,13556,1047,1057,1301,1253,1226,1148,1120,1027,789,689,5483,5174,797,701,1498,1401
59,10705,881,765,1119,1016,1008,895,804,785,601,556,4413,4017,650,573,1223,1052
60,8545,739,620,842,809,765,714,725,624,497,448,3568,3215,503,429,932,830
61,6411,540,509,720,605,546,511,518,444,369,349,2693,2418,364,324,688,612
62,4758,418,353,518,468,433,414,350,362,235,242,1954,1839,266,234,500,465
63,3325,285,247,349,333,297,256,275,228,182,174,1388,1238,189,164,353,346
64,2164,187,159,222,232,201,167,168,147,107,107,885,812,129,105,234,233
65,1378,121,119,157,146,119,87,117,82,78,55,592,489,75,71,146,151
66,766,66,65,86,83,81,49,61,55,36,31,330,283,44,31,75,78
67,460,39,40,46,45,40,37,32,27,23,12,180,161,28,26,54,65
68,188,22,11,25,26,12,14,17,10,6,2,82,63,13,8,21,22
69,66,7,6,7,7,7,5,6,5,1,1,28,24,3,5,8,6
70,25,2,6,5,0,4,0,2,1,1,0,14,7,2,0,2,2
71,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
